return,PE,industry,location,mv
4.61,71.85,家用电器,深圳,         68.55亿
6.81,71.66,元器件,深圳,        178.91亿
1.49,71.61,化工原料,山东,         11.20亿
0.73,71.28,综合类,上海,         19.26亿
9.97,71.27,半导体,江苏,         80.09亿
1.73,71.22,生物制药,内蒙,         20.91亿
2.23,71.17,通信设备,吉林,         25.22亿
10.01,70.97,汽车配件,江苏,         21.63亿
3.15,70.86,元器件,浙江,         18.15亿
3.02,70.8,软件服务,上海,        206.74亿
10.01,70.76,软件服务,北京,         12.37亿
0.72,70.66,半导体,上海,         21.12亿
-1.24,70.62,食品,浙江,         13.71亿
3.05,70.58,互联网,北京,         23.21亿
2.81,70.57,航空,北京,         15.28亿
1.55,70.49,区域地产,江苏,         36.88亿
2.33,70.43,通信设备,深圳,         86.96亿
2.61,70.38,元器件,四川,         37.83亿
1.28,70.37,环境保护,湖南,         30.00亿
0.29,70.26,综合类,辽宁,         21.29亿
1.31,70.23,医疗保健,安徽,        133.17亿
2.16,70.14,IT设备,广东,         22.84亿
1.51,70.1,旅游服务,湖北,         16.82亿
0.91,70.05,软件服务,浙江,         14.72亿
1.02,70.04,仓储物流,上海,         23.62亿
4.89,70.01,专用机械,上海,          8.36亿
10.04,69.98,汽车配件,广东,         26.82亿
3.26,69.9,互联网,北京,         14.38亿
1.3,69.84,装修装饰,上海,         16.55亿
1.81,69.81,航空,北京,        246.55亿
0.84,69.61,供气供热,四川,         21.40亿
3.05,69.48,染料涂料,深圳,          8.14亿
3.59,69.43,生物制药,山东,         27.73亿
1.27,69.43,食品,四川,         18.10亿
3.64,69.37,铝,福建,         22.07亿
1.29,69.33,软件服务,上海,         27.29亿
0.91,69.3,其他建材,安徽,         19.87亿
0.13,69.26,文教休闲,广东,          7.24亿
2.24,69.1,医疗保健,广东,         17.64亿
5.44,69.03,元器件,深圳,          8.49亿
1.02,69.02,软件服务,北京,         44.70亿
6.56,68.98,饲料,山东,         22.89亿
2.21,68.82,航空,北京,        244.40亿
0.86,68.76,机械基件,深圳,         26.98亿
1.95,68.65,软件服务,北京,        175.27亿
3.94,68.62,化工原料,北京,         27.21亿
0.44,68.54,多元金融,安徽,         33.35亿
2.65,68.53,通信设备,湖北,         38.76亿
1.58,68.45,元器件,浙江,         93.93亿
-0.29,68.44,化工原料,湖南,         25.81亿
1.23,68.38,通信设备,湖北,         17.73亿
0.02,68.34,医疗保健,浙江,        339.47亿
1.72,68.33,元器件,浙江,         36.61亿
10.01,68.27,软件服务,上海,         11.81亿
2.31,68.09,塑料,广东,         11.06亿
-2.01,68.09,百货,新疆,         31.08亿
2.47,68.03,软件服务,安徽,         34.46亿
1.26,68.01,医疗保健,深圳,        149.66亿
0.16,67.97,造纸,上海,         66.22亿
4.93,67.37,食品,安徽,         27.15亿
1.14,67.24,元器件,深圳,         43.04亿
2.7,67.07,软件服务,深圳,         24.59亿
0.36,67.06,全国地产,云南,         67.55亿
0.93,67.02,软件服务,四川,         63.76亿
1.56,66.99,化学制药,重庆,         38.74亿
3.67,66.89,电气设备,福建,         93.52亿
2.32,66.86,元器件,江苏,         23.12亿
1.55,66.86,化学制药,江苏,        966.34亿
-0.46,66.84,百货,湖北,         24.42亿
3.28,66.63,软件服务,吉林,         36.82亿
1.69,66.62,机床制造,湖南,         11.86亿
0.57,66.43,医疗保健,上海,         30.28亿
1.86,66.36,化工原料,浙江,          9.21亿
0.32,66.27,农用机械,河南,         37.36亿
0.54,66.21,黄金,湖南,         89.54亿
2.9,66.18,IT设备,上海,         14.55亿
1.48,66.14,电信运营,福建,         81.29亿
1.74,66.13,环境保护,浙江,         52.77亿
2.7,65.85,IT设备,深圳,         10.51亿
4.7,65.82,通信设备,广东,         81.85亿
1.57,65.82,医疗保健,上海,         19.18亿
3.81,65.81,电信运营,上海,         49.80亿
1.24,65.62,化工原料,新疆,         47.75亿
1.46,65.56,元器件,江苏,         57.08亿
3.25,65.3,食品,河南,         71.75亿
0.68,65.22,仓储物流,北京,         57.65亿
-0.51,65.09,建筑工程,浙江,         10.33亿
1.18,64.98,钢加工,贵州,         16.79亿
1.43,64.97,汽车配件,江苏,          6.84亿
1.31,64.9,汽车配件,广东,         13.02亿
3.09,64.84,元器件,福建,         28.26亿
1.57,64.72,纺织机械,福建,          7.82亿
2.44,64.64,水泥,四川,         24.92亿
2.06,64.59,通信设备,福建,         29.67亿
1.53,64.57,日用化工,广东,          6.19亿
-0.34,64.57,文教休闲,湖南,         23.39亿
3.26,64.49,互联网,福建,         45.60亿
2.78,64.39,证券,深圳,        297.35亿
7.91,64.36,农药化肥,江苏,         41.77亿
0.81,64.34,生物制药,上海,          7.29亿
2.06,64.3,半导体,上海,         35.12亿
0.49,64.27,汽车配件,上海,         20.17亿
0.21,64.23,旅游景点,西藏,         21.38亿
2.45,64.18,元器件,河北,        312.09亿
2.1,63.93,生物制药,天津,         65.36亿
3.33,63.91,电器仪表,广东,         10.34亿
0.56,63.81,汽车配件,浙江,         18.28亿
0.4,63.8,服饰,辽宁,         16.74亿
3.3,63.73,食品,山东,         11.81亿
1.18,63.72,电气设备,山东,         16.03亿
-0.79,63.67,水力发电,四川,         81.98亿
2.37,63.65,广告包装,广东,          7.41亿
-0.69,63.64,纺织,四川,         14.70亿
2.86,63.6,元器件,深圳,         56.21亿
0.42,63.42,化工原料,江苏,         66.72亿
1.47,63.31,专用机械,北京,         47.93亿
0.93,63.04,化工原料,河南,         69.53亿
1.14,63.02,生物制药,天津,        304.58亿
1.56,62.83,工程机械,陕西,         22.42亿
1.57,62.72,运输设备,浙江,          9.78亿
-0.49,62.59,生物制药,内蒙,        207.34亿
0.42,62.43,水力发电,四川,         35.11亿
-1.68,62.26,医疗保健,浙江,        331.80亿
2.9,62.22,互联网,上海,        114.23亿
0.39,62.18,电器仪表,湖北,        152.40亿
0,62.14,塑料,浙江,         52.17亿
4.5,62.01,IT设备,山东,        428.03亿
1.73,61.99,纺织机械,浙江,         37.28亿
3.43,61.97,汽车配件,贵州,         56.04亿
1.21,61.91,医疗保健,内蒙,         17.22亿
6.81,61.86,元器件,北京,       1486.44亿
0.45,61.83,生物制药,广东,         54.25亿
0.91,61.81,农药化肥,江苏,         21.00亿
0.98,61.8,旅游景点,云南,         37.64亿
1.36,61.68,小金属,内蒙,        379.29亿
1.67,61.51,IT设备,浙江,         10.97亿
0.71,61.38,服饰,四川,         13.86亿
0.61,61.38,钢加工,四川,         29.53亿
4.71,61.32,元器件,江苏,         29.00亿
1.62,61.28,化学制药,浙江,        110.54亿
1.74,61.08,元器件,江苏,         44.75亿
2.61,60.96,电信运营,北京,         63.46亿
2.6,60.94,出版业,甘肃,         40.95亿
0.4,60.91,农业综合,山东,          9.71亿
10.01,60.88,化工原料,江苏,         11.73亿
2.56,60.85,软件服务,深圳,         32.26亿
0.77,60.72,仓储物流,新疆,         20.63亿
1.79,60.47,汽车配件,辽宁,         44.52亿
3.08,60.42,农药化肥,河北,         39.95亿
0.66,60.16,电气设备,上海,         28.63亿
1.13,60.12,家用电器,江苏,         35.84亿
9.99,60.1,钢加工,湖南,         26.05亿
-6.37,60.1,公路,海南,         26.92亿
1.36,60.05,元器件,山东,         60.36亿
-0.53,60,文教休闲,辽宁,         61.51亿
3.93,59.91,船舶,江苏,         55.84亿
0.71,59.84,软件服务,浙江,        641.23亿
-1.06,59.78,专用机械,上海,         21.39亿
2.28,59.76,红黄酒,山东,         16.43亿
1.84,59.73,电气设备,浙江,         22.14亿
2.73,59.49,化学制药,海南,         88.31亿
-0.48,59.44,医疗保健,河南,        426.34亿
1.91,59.36,通信设备,广东,        229.57亿
3.5,59.32,通信设备,深圳,         63.52亿
0.4,59.31,医药商业,浙江,         18.30亿
1.1,59.29,铝,江苏,         37.27亿
1.31,59.22,食品,广西,         19.52亿
3.92,59.16,汽车配件,江苏,          8.89亿
1.68,59.13,工程机械,上海,        120.92亿
1.31,59.11,工程机械,湖南,         41.67亿
3.35,59.06,元器件,深圳,          9.93亿
1.91,59.01,电器仪表,深圳,        397.40亿
0.96,58.97,商贸代理,江苏,         16.38亿
2.09,58.95,软件服务,深圳,         35.34亿
1.88,58.61,小金属,陕西,         32.20亿
1.02,58.51,中成药,浙江,         23.00亿
1.4,58.5,电气设备,吉林,         49.92亿
2.07,58.46,元器件,浙江,         23.93亿
1.78,58.42,电气设备,浙江,          7.71亿
2.2,58.24,机械基件,山东,         19.76亿
1.62,58.23,电气设备,北京,         19.59亿
0.61,58.05,软件服务,北京,         42.07亿
-0.07,57.89,汽车整车,江西,         73.10亿
2.26,57.7,机械基件,江苏,         26.58亿
1.04,57.67,电气设备,江苏,         26.23亿
1.93,57.67,日用化工,浙江,         56.94亿
0.88,57.66,乳制品,河南,         13.86亿
2.1,57.61,专用机械,辽宁,        213.88亿
0,57.55,汽车整车,安徽,         93.34亿
1.97,57.52,通信设备,湖北,        189.13亿
0.88,57.51,软饮料,浙江,         11.19亿
0.77,57.5,医疗保健,广东,        149.38亿
0.11,57.49,塑料,深圳,         13.83亿
2.04,57.45,轻工机械,上海,         10.47亿
3.08,57.39,软件服务,上海,         33.49亿
1.75,57.36,汽车整车,深圳,        503.37亿
1.63,57.32,啤酒,甘肃,         12.72亿
1.37,57.31,软件服务,北京,        108.88亿
-0.96,57.27,医疗保健,重庆,          9.10亿
1.02,57.25,铅锌,重庆,        146.14亿
0.36,57.21,出版业,山东,          7.23亿
0.3,57.21,医疗保健,上海,          7.25亿
0.27,57.08,汽车配件,辽宁,         41.19亿
1.33,56.89,水务,北京,         18.75亿
1.05,56.86,建筑工程,山东,         22.78亿
1,56.72,电气设备,浙江,         11.06亿
2.66,56.61,软件服务,浙江,        103.09亿
-0.43,56.53,食品,广东,       2890.48亿
2.68,56.49,元器件,湖北,        108.12亿
1.57,56.45,塑料,江苏,         13.25亿
3.11,56.27,塑料,广东,         25.88亿
2.21,56.25,元器件,广东,          9.19亿
0.33,56.21,化学制药,湖南,         11.98亿
1.83,56.16,互联网,上海,         20.69亿
1.18,56.1,中成药,河南,         24.47亿
3.19,56.09,专用机械,江苏,         36.80亿
0.18,56,医疗保健,山东,         32.16亿
4.33,55.97,医疗保健,北京,          7.25亿
2.14,55.79,软件服务,浙江,        107.40亿
2.98,55.76,化工原料,四川,         30.33亿
1.27,55.73,专用机械,四川,         23.32亿
2.76,55.68,软件服务,山东,         39.89亿
1.45,55.62,证券,上海,        837.05亿
1.39,55.57,化工原料,江苏,         15.35亿
2.88,55.49,电气设备,河南,         87.25亿
4.43,55.45,软件服务,福建,         60.65亿
1.71,55.42,医疗保健,上海,         23.79亿
0.78,55.35,软件服务,广东,         89.52亿
1.24,55.24,广告包装,广东,          6.89亿
4.24,55.17,元器件,河南,         43.57亿
3.41,55.1,新型电力,深圳,         38.60亿
3.41,55.1,新型电力,深圳,         38.60亿
1.3,55.1,影视音像,上海,         55.68亿
